#{"t_start": 1684228389.0110462, "env_id": "ur5e-v0"}
r,l,t
-4.780497,11,7.731503
-8.081983,1,7.932395
-7.975266,1,8.14977
-11.037826,1,8.368426
-8.02233,1,8.569293
-9.684858,2,8.927896
-5.131757,1,9.138878
-8.053224,1,9.35146
-8.015995,1,9.55214
-6.2421,1,9.762556
-7.498975,12,14.206119
-28.106268,23,21.250396
-6.490113,13,24.551155
-2.470916,13,29.739696
-8.434015,14,35.24576
-2.575258,11,39.632017
-4.948945,1,39.808659
-8.092097,1,40.077176
-8.0035,1,40.295732
-7.996739,1,40.50497
-4.939354,1,40.727996
-9.893578,2,41.07982
-9.925161,2,41.483836
-5.280021,1,41.706871
-8.696729,1,41.954237
-14.433927,4,42.566777
-14.509993,4,43.239692
-9.974067,2,43.594325
-4.786935,1,43.798476
-12.110757,3,44.263962
-7.262368,2,44.616889
-7.038312,2,45.016824
-9.501495,2,45.37216
-7.767156,2,45.755538
-7.937175,1,45.97078
-4.646859,1,46.178872
-13.549092,2,46.542798
-5.236807,1,46.758801
-8.041436,1,46.965277
-13.80346,2,47.353722
-10.646708,1,47.552754
-5.221451,1,47.772683
-8.55131,1,47.986436
-7.98702,1,48.197325
-7.028098,2,48.610979
-10.725773,1,48.818448
-7.93308,1,49.023722
-13.179625,2,49.386451
-16.308405,4,50.115385
-4.639744,1,50.327752
-6.938086,2,50.681794
-5.060303,1,50.872898
-7.17751,1,51.081944
-6.383767,1,51.291403
-8.792473,12,55.280101
-8.363386,14,60.935045
-2.651435,11,65.337256
-13.058872,3,65.920892
-10.978672,1,66.178719
-10.145769,2,66.539518
-7.922358,1,66.745344
-7.890649,1,66.953964
-8.047241,1,67.160214
-7.863329,1,67.372582
-8.156339,1,67.576854
-8.103005,1,67.780301
-8.016263,1,67.99526
-5.0097,1,68.20666
-8.151737,1,68.430831
-12.905748,5,69.19574
-4.912994,1,69.404815
-7.081904,2,69.76597
-4.98359,1,69.989076
-11.022711,4,70.652559
-8.00251,1,70.873879
-5.021797,1,71.084899
-12.170936,3,71.585388
-7.020222,2,71.956902
-5.077901,1,72.160315
-7.975406,1,72.366986
-11.994564,3,72.88139
-7.78622,1,73.094913
-4.963516,1,73.302876
-5.121632,1,73.510827
-4.788795,1,73.722336
-5.005391,1,73.920833
-9.951924,2,74.288343
-6.954796,2,74.654038
-8.0111,1,74.860066
-8.181832,1,75.070487
